p,r,f,k
0.45454545454545453,0.4166666666666667,0.43478260869565216,8
0.4594594594594595,0.4857142857142857,0.47222222222222227,8
0.4864864864864865,0.5,0.4931506849315069,8
0.525,0.525,0.525,8
0.5588235294117647,0.4523809523809524,0.5,8
0.3902439024390244,0.4444444444444444,0.4155844155844156,8
0.40540540540540543,0.46875,0.43478260869565216,8
0.4857142857142857,0.53125,0.5074626865671641,8
0.5,0.5277777777777778,0.5135135135135136,8
0.2962962962962963,0.3076923076923077,0.3018867924528302,8
0.2916666666666667,0.23333333333333334,0.2592592592592593,8
0.48,0.4,0.4363636363636364,8
0.34375,0.4074074074074074,0.37288135593220334,8
0.42105263157894735,0.41025641025641024,0.4155844155844156,8
0.2857142857142857,0.26666666666666666,0.2758620689655172,8
0.53125,0.4358974358974359,0.47887323943661975,8
0.2413793103448276,0.23333333333333334,0.23728813559322037,8
0.34285714285714286,0.4,0.36923076923076925,8
0.3333333333333333,0.43333333333333335,0.37681159420289856,8
0.5172413793103449,0.4166666666666667,0.46153846153846156,8
0.3142857142857143,0.34375,0.3283582089552239,8
0.47368421052631576,0.5142857142857142,0.4931506849315068,8
0.4444444444444444,0.45714285714285713,0.4507042253521127,8
0.48148148148148145,0.3170731707317073,0.3823529411764706,8
0.4482758620689655,0.37142857142857144,0.40625,8
0.48484848484848486,0.5,0.49230769230769234,8
0.375,0.42857142857142855,0.39999999999999997,8
0.45,0.5454545454545454,0.4931506849315069,8
0.4,0.3684210526315789,0.3835616438356164,8
0.35714285714285715,0.30303030303030304,0.32786885245901637,8
0.46511627906976744,0.47619047619047616,0.4705882352941176,8
0.2857142857142857,0.2857142857142857,0.2857142857142857,8
0.5185185185185185,0.4827586206896552,0.5,8
0.6666666666666666,0.5,0.5714285714285715,8
0.52,0.34210526315789475,0.41269841269841273,8
0.6052631578947368,0.575,0.5897435897435896,8
0.5121951219512195,0.4883720930232558,0.5,8
0.3448275862068966,0.2777777777777778,0.3076923076923077,8
0.3611111111111111,0.3611111111111111,0.3611111111111111,8
0.37037037037037035,0.2857142857142857,0.3225806451612903,8
0.2894736842105263,0.39285714285714285,0.33333333333333337,8
0.6111111111111112,0.5365853658536586,0.5714285714285715,8
0.36666666666666664,0.3142857142857143,0.3384615384615384,8
0.5714285714285714,0.5454545454545454,0.5581395348837208,8
0.2692307692307692,0.2413793103448276,0.2545454545454545,8
0.38235294117647056,0.38235294117647056,0.3823529411764706,8
0.30303030303030304,0.2631578947368421,0.28169014084507044,8
0.3125,0.3333333333333333,0.3225806451612903,8
0.4444444444444444,0.47058823529411764,0.45714285714285713,8
0.425,0.4358974358974359,0.43037974683544306,8
0.36363636363636365,0.3333333333333333,0.34782608695652173,8
0.3888888888888889,0.3888888888888889,0.3888888888888889,8
0.3939393939393939,0.34210526315789475,0.3661971830985915,8
0.55,0.5238095238095238,0.5365853658536585,8
0.4418604651162791,0.5428571428571428,0.48717948717948717,8
0.4375,0.4666666666666667,0.45161290322580644,8
0.34375,0.34375,0.34375,8
